Sample,Counts,Ind,Individual,Drug,Conc.,Time,Sample_name,Condition
MCW_SP_JT_R1_R1,33207454,Male_1,Ind_4,CX-5461,0.1,3,17-3_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R10_R1,25536976,Male_1,Ind_4,DOX,0.5,24,17-3_DOX_0.5_24,DOX_0.5
MCW_SP_JT_R100_R1,28250917,female_3,Ind_3,DOX,0.5,24,87-1_DOX_0.5_24,DOX_0.5
MCW_SP_JT_R101_R1,28722312,female_3,Ind_3,VEH,0.1,24,87-1_VEH_0.1_24,VEH_0.1
MCW_SP_JT_R102_R1,28291748,female_3,Ind_3,VEH,0.5,24,87-1_VEH_0.5_24,VEH_0.5
MCW_SP_JT_R103_R1,29104524,female_3,Ind_3,CX-5461,0.1,48,87-1_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R104_R1,26647329,female_3,Ind_3,CX-5461,0.5,48,87-1_CX-5461_0.5_48,CX-5461_0.5
MCW_SP_JT_R105_R1,33092097,female_3,Ind_3,DOX,0.1,48,87-1_DOX_0.1_48,DOX_0.1
MCW_SP_JT_R106_R1,27136983,female_3,Ind_3,DOX,0.5,48,87-1_DOX_0.5_48,DOX_0.5
MCW_SP_JT_R107_R1,27151642,female_3,Ind_3,VEH,0.1,48,87-1_VEH_0.1_48,VEH_0.1
MCW_SP_JT_R108_R1,26292428,female_3,Ind_3,VEH,0.5,48,87-1_VEH_0.5_48,VEH_0.5
MCW_SP_JT_R11_R1,24090740,Male_1,Ind_4,VEH,0.1,24,17-3_VEH_0.1_24,VEH_0.1
MCW_SP_JT_R12_R1,22279072,Male_1,Ind_4,VEH,0.5,24,17-3_VEH_0.5_24,VEH_0.5
MCW_SP_JT_R13_R1,27165025,Male_1,Ind_4,CX-5461,0.1,48,17-3_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R14_R1,24040310,Male_1,Ind_4,CX-5461,0.5,48,17-3_CX-5461_0.5_48,CX-5461_0.5
MCW_SP_JT_R15_R1,30426062,Male_1,Ind_4,DOX,0.1,48,17-3_DOX_0.1_48,DOX_0.1
MCW_SP_JT_R16_R1,29061074,Male_1,Ind_4,DOX,0.5,48,17-3_DOX_0.5_48,DOX_0.5
MCW_SP_JT_R17_R1,34340226,Male_1,Ind_4,VEH,0.1,48,17-3_VEH_0.1_48,VEH_0.1
