Sample,Counts,Ind,Individual,Drug,Conc.,Time,Sample_name,Condition
MCW_SP_JT_R55_R1,28568398,female_1,Ind_1,CX-5461,0.1,3,75-1_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R73_R1,30002440,female_2,Ind_2,CX-5461,0.1,3,78-1_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R91_R1,26311164,female_3,Ind_3,CX-5461,0.1,3,87-1_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R1_R1,33084169,Male_1,Ind_4,CX-5461,0.1,3,17-3_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R19_R1,23596812,Male_2,Ind_5,CX-5461,0.1,3,84-1_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R37_R1,21729878,Male_3,Ind_6,CX-5461,0.1,3,90-1_CX-5461_0.1_3,CX-5461_0.1
MCW_SP_JT_R61_R1,27454177,female_1,Ind_1,CX-5461,0.1,24,75-1_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R79_R1,23352662,female_2,Ind_2,CX-5461,0.1,24,78-1_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R97_R1,39448868,female_3,Ind_3,CX-5461,0.1,24,87-1_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R7_R1,27006362,Male_1,Ind_4,CX-5461,0.1,24,17-3_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R25_R1,33715044,Male_2,Ind_5,CX-5461,0.1,24,84-1_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R43_R1,19801671,Male_3,Ind_6,CX-5461,0.1,24,90-1_CX-5461_0.1_24,CX-5461_0.1
MCW_SP_JT_R67_R1,29071890,female_1,Ind_1,CX-5461,0.1,48,75-1_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R85_R1,28937285,female_2,Ind_2,CX-5461,0.1,48,78-1_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R103_R1,28976075,female_3,Ind_3,CX-5461,0.1,48,87-1_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R13_R1,27032313,Male_1,Ind_4,CX-5461,0.1,48,17-3_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R31_R1,19033496,Male_2,Ind_5,CX-5461,0.1,48,84-1_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R49_R1,31779729,Male_3,Ind_6,CX-5461,0.1,48,90-1_CX-5461_0.1_48,CX-5461_0.1
MCW_SP_JT_R57_R1,25870176,female_1,Ind_1,DOX,0.1,3,75-1_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R75_R1,25919512,female_2,Ind_2,DOX,0.1,3,78-1_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R93_R1,26371297,female_3,Ind_3,DOX,0.1,3,87-1_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R3_R1,24308481,Male_1,Ind_4,DOX,0.1,3,17-3_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R21_R1,24576654,Male_2,Ind_5,DOX,0.1,3,84-1_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R39_R1,27090451,Male_3,Ind_6,DOX,0.1,3,90-1_DOX_0.1_3,DOX_0.1
MCW_SP_JT_R63_R1,32384790,female_1,Ind_1,DOX,0.1,24,75-1_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R81_R1,39258385,female_2,Ind_2,DOX,0.1,24,78-1_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R99_R1,27951673,female_3,Ind_3,DOX,0.1,24,87-1_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R9_R1,36281653,Male_1,Ind_4,DOX,0.1,24,17-3_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R27_R1,26879580,Male_2,Ind_5,DOX,0.1,24,84-1_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R45_R1,23450929,Male_3,Ind_6,DOX,0.1,24,90-1_DOX_0.1_24,DOX_0.1
MCW_SP_JT_R69_R1,24924101,female_1,Ind_1,DOX,0.1,48,75-1_DOX_0.1_48,DOX_0.1
MCW_SP_JT_R87_R1,25853198,female_2,Ind_2,DOX,0.1,48,78-1_DOX_0.1_48,DOX_0.1
MCW_SP_JT_R105_R1,32969323,female_3,Ind_3,DOX,0.1,48,87-1_DOX_0.1_48,DOX_0.1
MCW_SP_JT_R15_R1,30284553,Male_1,Ind_4,DOX,0.1,48,17-3_DOX_0.1_48,DOX_0.1
